miRNA,Target Gene (Entrez Gene ID)
hsa-mir-520c,351
hsa-mir-106a,351
hsa-let-7a,639
hsa-mir-9,639
hsa-mir-135b,324
hsa-mir-135a,324
hsa-mir-30a,627
hsa-mir-520h,4091
hsa-mir-520h,9429
hsa-mir-129,23261
hsa-mir-129,192669
hsa-mir-155,387
hsa-mir-199a,4233
hsa-mir-221,3215
hsa-mir-510,285242
hsa-mir-21,7168
hsa-mir-1,3759
hsa-mir-1,2697
hsa-mir-133a,842
hsa-mir-182,4286
hsa-mir-182,112
hsa-mir-22,655
hsa-let-7d,8091
hsa-mir-155,185
hsa-mir-24,1719
hsa-mir-10b,3236
hsa-mir-210,1944
hsa-mir-124,1050
hsa-let-7c,131405
hsa-let-7a,131405
hsa-let-7a,3169
hsa-let-7a,8856
hsa-let-7a,7421
hsa-let-7e,8091
hsa-let-7b,8091
hsa-mir-21,4781
hsa-let-7g,8091
hsa-mir-34a,23411
hsa-mir-196a,3218
hsa-mir-221,1028
hsa-mir-141,7042
hsa-mir-200c,6935
hsa-mir-7,1956
hsa-let-7b,993
hsa-let-7b,1021
hsa-mir-34a,596
hsa-let-7a,55225
hsa-mir-141,6421
hsa-mir-29b,6421
hsa-mir-26a,26135
hsa-mir-29b,51726
hsa-let-7c,8091
hsa-let-7a,8091
hsa-mir-222,51014
hsa-mir-221,51014
hsa-mir-26a,4086
hsa-mir-133b,5309
hsa-mir-125b,8879
hsa-mir-125b,119504
hsa-mir-125b,1054
hsa-mir-125b,578
hsa-let-7b,605
hsa-mir-27a,6671
hsa-mir-27a,6670
hsa-mir-27a,6667
hsa-mir-21,1021
hsa-mir-21,6102
hsa-mir-21,23678
hsa-mir-21,117247
hsa-mir-21,317
hsa-mir-21,113263
hsa-mir-21,9655
hsa-mir-21,27244
hsa-mir-21,7832
hsa-mir-21,10114
hsa-mir-21,10447
hsa-mir-21,355
hsa-mir-373,960
hsa-mir-335,10461
hsa-mir-335,5799
hsa-mir-335,6659
hsa-mir-372,26524
hsa-mir-22,5465
hsa-mir-22,2099
hsa-mir-16,1073
hsa-mir-16,1444
hsa-mir-16,1393
hsa-mir-205,6935
hsa-mir-200a,6935
hsa-mir-200a,8487
hsa-mir-200b,6935
hsa-let-7b,595
hsa-mir-193a,4170
hsa-mir-193a,1876
hsa-mir-137,1876
hsa-mir-137,1021
hsa-mir-373,9493
hsa-mir-373,2631
hsa-mir-373,54978
hsa-mir-373,1912
hsa-mir-373,100133941
hsa-mir-373,9818
hsa-mir-373,4603
hsa-mir-373,59349
hsa-mir-373,9709
hsa-mir-373,51631
hsa-mir-373,4001
hsa-mir-373,23608
hsa-mir-373,50650
hsa-mir-373,79443
hsa-mir-373,9308
hsa-mir-373,2635
hsa-mir-373,284996
hsa-mir-373,7126
hsa-mir-373,8676
hsa-mir-373,128486
hsa-mir-373,29899
hsa-mir-373,1063
hsa-mir-373,1073
hsa-mir-373,11334
hsa-mir-373,51141
hsa-mir-373,51228
hsa-mir-373,5970
hsa-mir-373,9055
hsa-mir-373,11177
hsa-mir-373,219333
hsa-mir-373,51199
hsa-mir-373,55357
hsa-mir-373,7023
hsa-mir-373,28978
hsa-mir-373,6789
hsa-mir-373,7769
hsa-mir-373,51182
hsa-mir-373,91749
hsa-mir-373,79085
hsa-mir-373,51759
hsa-mir-373,100507436
hsa-mir-373,221656
hsa-mir-373,80306
hsa-mir-373,8754
hsa-mir-373,123016
hsa-mir-373,11244
hsa-mir-373,22934
hsa-mir-124,1677
hsa-mir-124,23650
hsa-mir-124,8555
hsa-mir-124,5916
hsa-mir-124,54956
hsa-mir-124,10095
hsa-mir-124,5782
hsa-mir-124,2070
hsa-mir-124,6894
hsa-mir-124,10459
hsa-mir-124,4001
hsa-mir-124,10146
hsa-mir-124,29128
hsa-mir-124,8895
hsa-mir-124,26503
hsa-mir-124,1718
hsa-mir-124,93973
hsa-mir-124,4627
hsa-mir-124,2000
hsa-mir-124,93487
hsa-mir-124,83879
hsa-mir-124,121260
hsa-mir-124,2040
hsa-mir-124,9107
hsa-mir-124,10622
hsa-mir-124,653145
hsa-mir-124,114882
hsa-mir-124,10950
hsa-mir-124,9341
