Negative Sample Scores,Sampling Category
0.470378662,0
0.458308255,0
0.477465214,0
0.460946599,0
0.498023665,0
0.472266579,0
0.4839393,0
0.49804336,0
0.493896328,0
0.469917838,0
0.458275338,0
0.467961121,0
0.456696932,0
0.464384022,0
0.491780528,0
0.455190492,0
0.48459729,0
0.45465176,0
0.457069959,0
0.457259994,0
0.482685174,0
0.461903609,0
0.499285988,0
0.478756486,0
0.485351773,0
0.4602205,0
0.48305231,0
0.484894201,0
0.462662143,0
0.470344308,0
0.450638277,0
0.482276853,0
0.462363906,0
0.480858964,0
0.466338046,0
0.459046304,0
0.445098558,0
0.458414928,0
0.4592586,0
0.476898729,0
0.456456829,0
0.499534743,0
0.458235217,0
0.481887881,0
0.479020857,0
0.479097729,0
0.465219957,0
0.455976232,0
0.468174768,0
0.497792317,0
0.475797217,0
0.459039694,0
0.494673337,0
0.497816174,0
0.456516985,0
0.49725941,0
0.483576475,0
0.454139004,0
0.45913366,0
0.471612919,0
0.481569037,0
0.463740594,0
0.49788463,0
0.499450705,0
0.458703636,0
0.460438954,0
0.452389615,0
0.480261194,0
0.475280305,0
0.48231537,0
0.479410023,0
0.483656799,0
0.472401829,0
0.479877769,0
0.495863254,0
0.482299827,0
0.467329176,0
0.498238335,0
0.47448201,0
0.462563865,0
0.45327609,0
0.484868809,0
0.48496923,0
0.48438668,0
0.460315417,0
0.495024882,0
0.480090547,0
0.494587894,0
0.478939843,0
0.476824788,0
0.462369387,0
0.497733061,0
0.464356854,0
0.459005522,0
0.451306175,0
0.451923675,0
0.475222926,0
0.468483512,0
0.45994502,0
0.461285721,0
0.481309171,0
0.479215616,0
0.481672987,0
0.449339713,0
0.459304385,0
0.467440667,0
0.455846169,0
0.497556777,0
0.448656677,0
0.471958902,0
0.498153306,0
0.460566471,0
0.46858025,0
0.478040812,0
0.467591361,0
0.473845247,0
0.473446688,0
0.459815904,0
0.459984018,0
0.457662472,0
0.460931778,0
0.463127065,0
0.480942884,0
0.469189977,0
0.470588105,0
0.457072543,0
0.485671327,0
0.468419299,0
0.486230083,0
0.459092676,0
0.469373798,0
0.487946101,0
0.499709805,0
0.499377973,0
0.471448726,0
0.454541898,0
0.460719822,0
0.488235087,0
0.497910357,0
0.463085346,0
0.499896473,0
0.494586312,0
0.469857717,0
0.470083965,0
0.453981081,0
0.486299023,0
0.457192889,0
0.494116492,0
0.483260975,0
0.460685249,0
0.494149225,0
0.46248905,0
0.498362406,0
0.499689245,0
0.466333069,0
0.493109169,0
0.460829657,0
0.499046401,0
0.497239693,0
0.459101807,0
0.462920812,0
0.459012701,0
0.456293916,0
0.470370364,0
0.48409763,0
0.483291004,0
0.495666591,0
0.454106309,0
0.457602844,0
0.45828615,0
0.470576517,0
0.492879314,0
0.488732318,0
0.455674194,0
0.46024053,0
0.486287952,0
0.455944034,0
0.480688177,0
0.448118476,0
0.46389814,0
0.477345569,0
0.466944042,0
0.469956,0
0.468595659,0
0.457363383,0
0.479959405,0
0.456897354,0
0.466430196,0
0.479795872,0
0.469538678,0
0.452999563,0
0.472490122,0
0.458599436,0
0.479816721,0
0.464400804,0
0.466067458,0
0.443251291,0
0.455685115,0
0.469885722,0
0.481279835,0
0.478330645,0
0.459883522,0
0.497039642,0
0.457670996,0
0.462183365,0
0.491632944,0
0.469561521,0
0.454271952,0
0.494678816,0
0.475699588,0
0.468854196,0
0.456644741,0
0.464088102,0
0.494393622,0
0.4560403,0
0.453601875,0
0.49468776,0
0.4867614,0
0.48551685,0
0.461181496,0
0.457036652,0
0.49718117,0
0.461320655,0
0.455816736,0
0.492291988,0
0.482844647,0
0.484487093,0
0.447414763,0
0.468773932,0
0.480928407,0
0.484126114,0
0.478017465,0
