Positive Sample Scores,Sampling Category
0.505451801,1
0.517847047,1
0.506017267,1
0.513723247,1
0.504599573,1
0.502527051,1
0.51627787,1
0.50700262,1
0.513256737,1
0.507545877,1
0.509397926,1
0.503325398,1
0.514107125,1
0.51599261,1
0.517272697,1
0.501344137,1
0.515472378,1
0.510350981,1
0.507147948,1
0.513738104,1
0.506429651,1
0.501430359,1
0.501767608,1
0.510035794,1
0.50023085,1
0.516016683,1
0.511032784,1
0.514386773,1
0.506703026,1
0.514183022,1
0.51103137,1
0.508163422,1
0.508004054,1
0.513996435,1
0.506983216,1
0.502922482,1
0.510699819,1
0.50048548,1
0.502566515,1
0.518133631,1
0.50883557,1
0.508884155,1
0.507904634,1
0.515148355,1
0.510066907,1
0.502094805,1
0.513841985,1
0.512002299,1
0.507826461,1
0.511874722,1
0.50709015,1
0.508871371,1
0.515846389,1
0.509704099,1
0.513950651,1
0.511481899,1
0.512854602,1
0.513199855,1
0.501618364,1
0.513316233,1
0.517315383,1
0.502972187,1
0.503268136,1
0.501863491,1
0.507433045,1
0.504865399,1
0.501124023,1
0.502932139,1
0.511990226,1
0.511905332,1
0.508809583,1
0.507987106,1
0.508572355,1
0.508366766,1
0.509314562,1
0.510601736,1
0.50838908,1
0.513335604,1
0.511454193,1
0.500824167,1
0.509702304,1
0.509238743,1
0.515789204,1
0.513594002,1
0.509230954,1
0.505324514,1
0.510668618,1
0.509930002,1
0.50257422,1
0.506594245,1
0.512327249,1
0.51823994,1
0.501359459,1
0.502731445,1
0.503270736,1
0.508694773,1
0.50425155,1
0.509795704,1
0.508615675,1
0.503896759,1
0.509842286,1
0.513968647,1
0.508279306,1
0.508142885,1
0.502707406,1
0.50558572,1
0.512587415,1
0.517059556,1
0.507786271,1
0.513901709,1
0.503498443,1
0.510196264,1
0.508379805,1
0.509692556,1
0.501097766,1
0.509409924,1
0.5037952,1
0.501026471,1
0.505783367,1
0.512744087,1
0.517125678,1
0.51198792,1
0.510754404,1
0.508382432,1
0.500921789,1
0.506349934,1
0.514389698,1
0.507579837,1
0.511019293,1
0.513179799,1
0.512138117,1
0.505979585,1
0.505045401,1
0.51693948,1
0.515527333,1
0.51358523,1
0.505831248,1
0.505492962,1
0.505315687,1
0.50568133,1
0.512121649,1
0.506680935,1
0.517016958,1
0.504935265,1
0.513926734,1
0.515228139,1
0.50156698,1
0.507870812,1
0.514161641,1
0.505534799,1
0.5114642,1
0.512701652,1
0.513547848,1
0.511994298,1
0.508453634,1
0.500840529,1
0.503265896,1
0.510687514,1
0.500691392,1
0.50510728,1
0.500023006,1
0.501964605,1
0.512658617,1
0.504359924,1
0.508549956,1
0.514120961,1
0.512804495,1
0.503848439,1
0.507929918,1
0.505674019,1
0.503897501,1
0.506217577,1
0.505301524,1
0.50237971,1
0.503013496,1
0.506743919,1
0.503557477,1
0.513670192,1
0.515542434,1
0.516764164,1
0.500252175,1
0.516476023,1
0.509337809,1
0.508615502,1
0.506655602,1
0.508309525,1
0.505210751,1
0.505845741,1
0.512329018,1
0.508049752,1
0.512356121,1
0.517538919,1
0.503783513,1
0.505686637,1
0.509048042,1
0.500883404,1
0.51399954,1
0.510704134,1
0.509897042,1
0.515178415,1
0.514299087,1
0.501703833,1
0.505579928,1
0.514433301,1
0.519049817,1
0.507923519,1
0.503866715,1
0.51931422,1
0.502816255,1
0.503676186,1
0.502387532,1
0.502324631,1
0.502533453,1
0.511691878,1
0.510889958,1
0.514881528,1
0.510267012,1
0.517278058,1
0.509216231,1
0.508465586,1
0.505694624,1
0.511556956,1
0.507137425,1
0.500214402,1
0.510981286,1
0.502862964,1
0.504296229,1
0.507610537,1
0.501653211,1
0.50851119,1
0.511021449,1
0.511863366,1
0.511179604,1
0.514901361,1
0.503244664,1
0.501857219,1
0.508949834,1
0.503271673,1
0.520426165,1
0.509206429,1
0.511225506,1
0.506755589,1
0.501678601,1
0.500560655,1
0.508781484,1
0.501264287,1
0.505648107,1
0.510771013,1
0.508019272,1
0.513057668,1
0.515545213,1
0.509261558,1
0.512341208,1
0.500545267,1
0.504785171,1
0.50849448,1
0.503294327,1
0.516835316,1
0.513898149,1
0.500782007,1
0.508296953,1
0.513545073,1
0.504123384,1
0.506169877,1
0.516040296,1
0.510520764,1
0.514347815,1
0.504043689,1
0.510917357,1
0.508775714,1
0.500486722,1
0.505789991,1
0.503708822,1
0.509281824,1
0.505600348,1
0.509311813,1
0.512418266,1
0.503725216,1
0.507944136,1
0.504688405,1
0.513840538,1
0.511126945,1
0.50800682,1
0.510498284,1
0.504440908,1
0.515070981,1
0.504708978,1
0.507939288,1
0.517567616,1
0.5012198,1
0.507550991,1
0.504607757,1
0.503985551,1
0.509591176,1
0.506563755,1
0.508502668,1
0.502853482,1
0.512667146,1
0.503999517,1
0.50968862,1
0.512141675,1
0.514162985,1
0.507827778,1
0.508827755,1
0.509771716,1
0.508365702,1
0.506930114,1
0.513426736,1
0.508087312,1
0.50987043,1
0.514558491,1
0.504242731,1
0.504615149,1
0.500749199,1
0.510622017,1
0.506105522,1
0.510765331,1
0.504892151,1
0.507975821,1
0.507845081,1
0.502050284,1
0.50448606,1
0.503905211,1
0.51814195,1
0.512762445,1
0.506561343,1
0.515326757,1
0.510370513,1
0.511976109,1
0.506567277,1
0.504448805,1
0.512716585,1
0.504892314,1
0.513488849,1
0.502808145,1
0.509858222,1
0.505418173,1
0.510327291,1
0.506771706,1
0.502801143,1
0.512334834,1
0.502597414,1
0.505695079,1
0.517102206,1
0.50450634,1
0.508682755,1
0.51041177,1
0.500524517,1
0.505407139,1
0.510720474,1
0.511491861,1
0.510920635,1
0.510360007,1
0.503070384,1
0.501047688,1
0.503198389,1
0.508044996,1
0.515614936,1
0.515470276,1
0.509775517,1
0.507011018,1
0.510597725,1
0.512551098,1
0.507194928,1
0.510200347,1
0.511900992,1
0.503626306,1
0.509361079,1
0.502202316,1
0.512767469,1
0.50510452,1
0.506116027,1
0.510214224,1
0.508666349,1
0.504036285,1
0.505947722,1
0.510125268,1
0.514902465,1
0.500975231,1
0.505755176,1
0.50537563,1
0.507852557,1
0.509311898,1
0.512417196,1
0.5135764,1
0.50068243,1
0.502678459,1
0.512940112,1
0.513106812,1
0.507866921,1
0.502859111,1
0.50053606,1
0.511652657,1
0.502005549,1
0.510948145,1
0.513050495,1
0.504432599,1
0.511430363,1
0.511062924,1
0.507963646,1
0.508417807,1
0.507747552,1
0.511485986,1
0.504037742,1
0.508740912,1
0.506698602,1
0.509486909,1
0.50890062,1
0.504030983,1
0.515281707,1
0.501645462,1
0.506760458,1
0.518600859,1
0.514756281,1
0.501977112,1
0.508784336,1
0.514693978,1
0.502851162,1
0.506411951,1
0.508623272,1
0.512839951,1
0.507295487,1
0.504637719,1
0.504601513,1
0.501329127,1
0.503786583,1
0.517057263,1
0.508870397,1
0.516208996,1
0.518754078,1
0.508352758,1
0.502049539,1
0.508226985,1
0.504432914,1
0.504200281,1
0.509128446,1
0.512302809,1
0.508479142,1
0.513983985,1
0.505043371,1
0.509533952,1
0.510730112,1
0.507108601,1
0.511705089,1
0.505226012,1
0.517366794,1
0.50601357,1
0.507458354,1
0.50124151,1
0.512549724,1
0.501499726,1
0.503515082,1
0.511080665,1
0.510713008,1
0.508162975,1
0.517561601,1
0.507420573,1
0.505198095,1
0.512934586,1
0.501439841,1
0.50034445,1
0.516435072,1
0.508208053,1
0.512576242,1
0.500763972,1
0.51006543,1
0.505420763,1
0.504375438,1
0.511501368,1
0.515834246,1
0.516946457,1
0.511318791,1
0.500837314,1
0.510297599,1
0.507332257,1
0.503535039,1
0.512605218,1
0.516192798,1
0.500417637,1
0.501838369,1
0.500871157,1
0.512273796,1
0.512633366,1
0.512641775,1
0.509418278,1
0.519691378,1
0.510854854,1
0.507842917,1
0.513040794,1
0.501217438,1
0.502764992,1
0.502409174,1
0.511998661,1
0.505902696,1
0.504542068,1
0.516436895,1
0.512830635,1
0.501488003,1
0.504866686,1
0.514888707,1
0.512308488,1
0.508315768,1
0.508870049,1
0.50570359,1
0.510510114,1
0.515261206,1
0.510218127,1
0.510847977,1
0.514622632,1
0.510748651,1
0.508483011,1
0.504785526,1
0.504725509,1
0.509411498,1
0.515072542,1
0.512690294,1
0.507388402,1
0.517906471,1
0.511018321,1
0.51306132,1
0.512509214,1
0.502061788,1
0.512759864,1
