train_scores,train_kinds,test_scores,test_kinds,,
0.503602488,1,0.472801951,2,,
0.497139489,0,0.50435041,3,,
0.477036778,0,0.51400009,3,,
0.452027662,0,0.478598973,2,,
0.475277257,0,0.504695684,3,,
0.500347697,1,0.512004388,3,,
0.489258538,0,0.47280154,2,,
0.505629385,1,0.458023361,2,,
0.479450789,0,0.456658192,2,,
0.447489227,0,0.510717333,3,,
0.44651929,0,0.51978448,3,,
0.488164334,0,0.508692414,3,,
0.455685177,0,0.517661681,3,,
0.468163497,0,0.454845133,2,,
0.497044597,0,0.511670363,3,,
0.508817526,1,0.509925986,3,,
0.517827999,1,0.513284997,3,,
0.484209593,0,0.511424726,3,,
0.510231464,1,0.508511788,3,,
0.509299902,1,0.510022397,3,,
0.481177307,0,0.513771736,3,,
0.46105712,0,0.5131208,3,,
0.487123997,0,0.484192675,2,,
0.460565112,0,0.511532267,3,,
0.465516007,0,0.509427478,3,,
0.454877938,0,0.510330105,3,,
0.503020676,1,0.515002183,3,,
0.468994397,0,0.502334161,3,,
0.457624293,0,0.496766998,2,,
0.512575188,1,0.478619683,2,,
0.467181589,0,0.44035182,2,,
0.472386261,0,0.464616154,2,,
0.515181342,1,0.461417101,2,,
0.487789541,0,0.466244093,2,,
0.471378137,0,0.449024523,2,,
0.503826833,1,0.510345783,3,,
0.470998422,0,0.517426144,3,,
0.466497397,0,0.503518002,3,,
0.502521546,1,0.515899525,3,,
0.509103886,1,0.511348968,3,,
0.492043034,0,0.511236748,3,,
0.508627851,1,0.500648095,3,,
0.517248216,1,0.512103053,3,,
0.514495235,1,0.497010511,2,,
0.469762538,0,0.513906203,3,,
0.499605203,0,0.459145238,2,,
0.445749571,0,0.482459011,2,,
0.507594718,1,0.506744966,3,,
0.488324445,0,0.457805409,2,,
0.514024425,1,0.461872712,2,,
0.497556957,0,0.455706141,2,,
0.450419713,0,0.50483228,3,,
0.501831847,1,0.515303369,3,,
0.508545685,1,0.483325773,2,,
0.483865346,0,0.478731524,2,,
0.446984545,0,0.515112103,3,,
0.456088359,0,0.464084563,2,,
0.51526193,1,0.483897918,2,,
0.453590819,0,0.470475452,2,,
0.517418568,1,0.46675195,2,,
0.517682098,1,0.504548767,3,,
0.508364762,1,0.511666115,3,,
0.506823894,1,0.464349509,2,,
0.480176092,0,0.513418045,3,,
0.499765588,0,0.479060874,2,,
0.513673063,1,0.49159379,2,,
0.510431646,1,0.515917522,3,,
0.503335158,1,0.512741161,3,,
0.511889401,1,0.464513114,2,,
0.454182116,0,0.479770774,2,,
0.482731968,0,0.505196855,3,,
0.470356109,0,0.507842177,3,,
0.455716258,0,0.479921426,2,,
0.511808164,1,0.508330637,3,,
0.446493256,0,0.506668292,3,,
0.474312583,0,0.509058931,3,,
0.484321966,0,0.467801497,2,,
0.469781655,0,0.467650576,2,,
0.483372866,0,0.474399808,2,,
0.473685369,0,0.512877711,3,,
0.506448605,1,0.512459618,3,,
0.503092073,1,0.469790448,2,,
0.514395216,1,0.47835313,2,,
0.450289145,0,0.514208808,3,,
0.470036646,0,0.467756737,2,,
0.463309202,0,0.511020485,3,,
0.503565807,1,0.449634357,2,,
0.499647935,0,0.515072277,3,,
0.506774175,1,0.462067359,2,,
0.513511547,1,0.515059474,3,,
0.469279699,0,0.508143867,3,,
0.468202772,0,0.507015437,3,,
0.45030218,0,0.479430336,2,,
0.508539954,1,0.498184045,2,,
0.478020297,0,0.485525108,2,,
0.504878495,1,0.50885344,3,,
0.462148078,0,0.489927158,2,,
